unit_id,powiat,wojewodztwo,rok,value
011212001000,Powiat bocheński,Nieznane,2014,0.28
011212001000,Powiat bocheński,Nieznane,2015,0.28
011212001000,Powiat bocheński,Nieznane,2016,0.24
011212001000,Powiat bocheński,Nieznane,2017,0.19
011212001000,Powiat bocheński,Nieznane,2018,0.3
011212001000,Powiat bocheński,Nieznane,2019,0.17
011212001000,Powiat bocheński,Nieznane,2020,0.18
011212001000,Powiat bocheński,Nieznane,2021,0.17
011212001000,Powiat bocheński,Nieznane,2022,0.23
011212001000,Powiat bocheński,Nieznane,2023,0.23
011212001000,Powiat bocheński,Nieznane,2024,0.1
011212006000,Powiat krakowski,Nieznane,2014,0.42
011212006000,Powiat krakowski,Nieznane,2015,0.31
011212006000,Powiat krakowski,Nieznane,2016,0.29
011212006000,Powiat krakowski,Nieznane,2017,0.31
011212006000,Powiat krakowski,Nieznane,2018,0.33
011212006000,Powiat krakowski,Nieznane,2019,0.26
011212006000,Powiat krakowski,Nieznane,2020,0.21
011212006000,Powiat krakowski,Nieznane,2021,0.18
011212006000,Powiat krakowski,Nieznane,2022,0.17
011212006000,Powiat krakowski,Nieznane,2023,0.19
011212006000,Powiat krakowski,Nieznane,2024,0.19
011212008000,Powiat miechowski,Nieznane,2014,0.26
011212008000,Powiat miechowski,Nieznane,2015,0.44
011212008000,Powiat miechowski,Nieznane,2016,0.3
011212008000,Powiat miechowski,Nieznane,2017,0.18
011212008000,Powiat miechowski,Nieznane,2018,0.33
011212008000,Powiat miechowski,Nieznane,2019,0.18
011212008000,Powiat miechowski,Nieznane,2020,0.15
011212008000,Powiat miechowski,Nieznane,2021,0.27
011212008000,Powiat miechowski,Nieznane,2022,0.19
011212008000,Powiat miechowski,Nieznane,2023,0.13
011212008000,Powiat miechowski,Nieznane,2024,0.28
011212009000,Powiat myślenicki,Nieznane,2014,0.23
011212009000,Powiat myślenicki,Nieznane,2015,0.18
011212009000,Powiat myślenicki,Nieznane,2016,0.22
011212009000,Powiat myślenicki,Nieznane,2017,0.22
011212009000,Powiat myślenicki,Nieznane,2018,0.28
011212009000,Powiat myślenicki,Nieznane,2019,0.19
011212009000,Powiat myślenicki,Nieznane,2020,0.25
011212009000,Powiat myślenicki,Nieznane,2021,0.15
011212009000,Powiat myślenicki,Nieznane,2022,0.19
011212009000,Powiat myślenicki,Nieznane,2023,0.2
011212009000,Powiat myślenicki,Nieznane,2024,0.16
011212014000,Powiat proszowicki,Nieznane,2014,0.27
011212014000,Powiat proszowicki,Nieznane,2015,0.21
011212014000,Powiat proszowicki,Nieznane,2016,0.16
011212014000,Powiat proszowicki,Nieznane,2017,0.28
011212014000,Powiat proszowicki,Nieznane,2018,0.3
011212014000,Powiat proszowicki,Nieznane,2019,0.12
011212014000,Powiat proszowicki,Nieznane,2020,0.23
011212014000,Powiat proszowicki,Nieznane,2021,0.19
011212014000,Powiat proszowicki,Nieznane,2022,0.14
011212014000,Powiat proszowicki,Nieznane,2023,0.21
011212014000,Powiat proszowicki,Nieznane,2024,0.17
011212019000,Powiat wielicki,Nieznane,2014,0.23
011212019000,Powiat wielicki,Nieznane,2015,0.22
011212019000,Powiat wielicki,Nieznane,2016,0.28
011212019000,Powiat wielicki,Nieznane,2017,0.38
011212019000,Powiat wielicki,Nieznane,2018,0.26
011212019000,Powiat wielicki,Nieznane,2019,0.23
011212019000,Powiat wielicki,Nieznane,2020,0.19
011212019000,Powiat wielicki,Nieznane,2021,0.24
011212019000,Powiat wielicki,Nieznane,2022,0.18
011212019000,Powiat wielicki,Nieznane,2023,0.21
011212019000,Powiat wielicki,Nieznane,2024,0.24
011212161000,Powiat m. Kraków,Nieznane,2014,0.73
011212161000,Powiat m. Kraków,Nieznane,2015,0.43
011212161000,Powiat m. Kraków,Nieznane,2016,0.45
011212161000,Powiat m. Kraków,Nieznane,2017,0.48
011212161000,Powiat m. Kraków,Nieznane,2018,0.38
011212161000,Powiat m. Kraków,Nieznane,2019,0.63
011212161000,Powiat m. Kraków,Nieznane,2020,0.3
011212161000,Powiat m. Kraków,Nieznane,2021,0.28
011212161000,Powiat m. Kraków,Nieznane,2022,0.29
011212161000,Powiat m. Kraków,Nieznane,2023,0.37
011212161000,Powiat m. Kraków,Nieznane,2024,0.45
011212205000,Powiat gorlicki,Nieznane,2014,0.31
011212205000,Powiat gorlicki,Nieznane,2015,0.33
011212205000,Powiat gorlicki,Nieznane,2016,0.25
011212205000,Powiat gorlicki,Nieznane,2017,0.27
011212205000,Powiat gorlicki,Nieznane,2018,0.28
011212205000,Powiat gorlicki,Nieznane,2019,0.3
011212205000,Powiat gorlicki,Nieznane,2020,0.4
011212205000,Powiat gorlicki,Nieznane,2021,0.15
011212205000,Powiat gorlicki,Nieznane,2022,0.25
