unit_id,powiat,wojewodztwo,rok,value
011212001000,Powiat bocheński,Nieznane,2014,6.92
011212001000,Powiat bocheński,Nieznane,2015,6.32
011212001000,Powiat bocheński,Nieznane,2016,4.35
011212001000,Powiat bocheński,Nieznane,2017,3.97
011212001000,Powiat bocheński,Nieznane,2018,4.86
011212001000,Powiat bocheński,Nieznane,2019,7.17
011212001000,Powiat bocheński,Nieznane,2020,6.88
011212001000,Powiat bocheński,Nieznane,2021,6.01
011212001000,Powiat bocheński,Nieznane,2022,4.78
011212001000,Powiat bocheński,Nieznane,2023,5.72
011212001000,Powiat bocheński,Nieznane,2024,6.22
011212006000,Powiat krakowski,Nieznane,2014,7.14
011212006000,Powiat krakowski,Nieznane,2015,5.66
011212006000,Powiat krakowski,Nieznane,2016,5.53
011212006000,Powiat krakowski,Nieznane,2017,6.53
011212006000,Powiat krakowski,Nieznane,2018,5.97
011212006000,Powiat krakowski,Nieznane,2019,27.99
011212006000,Powiat krakowski,Nieznane,2020,6.91
011212006000,Powiat krakowski,Nieznane,2021,4.38
011212006000,Powiat krakowski,Nieznane,2022,3.95
011212006000,Powiat krakowski,Nieznane,2023,4.69
011212006000,Powiat krakowski,Nieznane,2024,4.1
011212008000,Powiat miechowski,Nieznane,2014,8.54
011212008000,Powiat miechowski,Nieznane,2015,6.14
011212008000,Powiat miechowski,Nieznane,2016,8.26
011212008000,Powiat miechowski,Nieznane,2017,4.74
011212008000,Powiat miechowski,Nieznane,2018,3.09
011212008000,Powiat miechowski,Nieznane,2019,3.41
011212008000,Powiat miechowski,Nieznane,2020,5.11
011212008000,Powiat miechowski,Nieznane,2021,8.93
011212008000,Powiat miechowski,Nieznane,2022,9.64
011212008000,Powiat miechowski,Nieznane,2023,7.96
011212008000,Powiat miechowski,Nieznane,2024,7.29
011212009000,Powiat myślenicki,Nieznane,2014,5.41
011212009000,Powiat myślenicki,Nieznane,2015,4.44
011212009000,Powiat myślenicki,Nieznane,2016,4.18
011212009000,Powiat myślenicki,Nieznane,2017,3.8
011212009000,Powiat myślenicki,Nieznane,2018,3.42
011212009000,Powiat myślenicki,Nieznane,2019,3.6
011212009000,Powiat myślenicki,Nieznane,2020,3.74
011212009000,Powiat myślenicki,Nieznane,2021,5.15
011212009000,Powiat myślenicki,Nieznane,2022,6.09
011212009000,Powiat myślenicki,Nieznane,2023,3.78
011212009000,Powiat myślenicki,Nieznane,2024,4.95
011212014000,Powiat proszowicki,Nieznane,2014,3.6
011212014000,Powiat proszowicki,Nieznane,2015,3.37
011212014000,Powiat proszowicki,Nieznane,2016,6.13
011212014000,Powiat proszowicki,Nieznane,2017,3.03
011212014000,Powiat proszowicki,Nieznane,2018,2.59
011212014000,Powiat proszowicki,Nieznane,2019,3.27
011212014000,Powiat proszowicki,Nieznane,2020,2.33
011212014000,Powiat proszowicki,Nieznane,2021,2.63
011212014000,Powiat proszowicki,Nieznane,2022,3.19
011212014000,Powiat proszowicki,Nieznane,2023,2.4
011212014000,Powiat proszowicki,Nieznane,2024,3.55
011212019000,Powiat wielicki,Nieznane,2014,7.29
